,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",152686,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",124737,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
3,"Cold Heart - PNAU Remix","Elton John",121140,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
4,"STAY (with Justin Bieber)","The Kid LAROI",118363,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
5,"Nail Tech","Jack Harlow",115009,https://open.spotify.com/track/62Yo3FDddWY8ydu6PW2wyz
6,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",104312,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
7,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",102441,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
8,Shivers,"Ed Sheeran",102246,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
9,"pushin P (feat. Young Thug)",Gunna,101784,https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb
10,abcdefu,GAYLE,101026,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
11,"THATS WHAT I WANT","Lil Nas X",97469,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
12,Ghost,"Justin Bieber",92058,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
13,"Easy On Me",Adele,89970,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
14,Boyfriend,"Dove Cameron",89756,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
15,"Bad Habits","Ed Sheeran",83727,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
16,"Still D.R.E.","Dr. Dre",82198,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep
17,"she's all i wanna be","Tate McRae",81657,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
18,"Surface Pressure - From ""Encanto""/Soundtrack Version","Jessica Darrow",80237,https://open.spotify.com/track/6K5ph5mq1qprHae3TrgTj5
19,"City of Gods","Fivio Foreign",79693,https://open.spotify.com/track/4huBDGP4I3S0pYI0EaRN1c
20,"Super Gremlin","Kodak Black",75845,https://open.spotify.com/track/2bBClS4zzrRd4Aj59NaKSv
21,"The Motto",Tiësto,74636,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
22,Lost,"Frank Ocean",73299,https://open.spotify.com/track/1bjhYUwKUHEg5fHknxFObO
23,"good 4 u","Olivia Rodrigo",71876,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
24,"Numb Little Bug","Em Beihold",68879,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
25,"Where Are You Now","Lost Frequencies",68116,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
26,"I Love You So","The Walters",67340,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
27,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,66648,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
28,"AHHH HA","Lil Durk",66381,https://open.spotify.com/track/54VFhe501kUbDYj2OrueMp
29,Woman,"Doja Cat",66038,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
30,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,65216,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
31,"Fingers Crossed","Lauren Spencer-Smith",64742,https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ
32,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,64139,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
33,"Light Switch","Charlie Puth",63300,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
34,"One Right Now (with The Weeknd)","Post Malone",60647,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
35,"edamame (feat. Rich Brian)",bbno$,60549,https://open.spotify.com/track/5rW7qTn83sCKtqBoneJs63
36,Infinity,"Jaymes Young",59465,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
37,Softcore,"The Neighbourhood",58761,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
38,"Mount Everest",Labrinth,58144,https://open.spotify.com/track/1ZdhOMWyFR8Iv9eylMGYg2
39,"Do It To It",ACRAZE,58126,https://open.spotify.com/track/20on25jryn53hWghthWWW3
40,"Without Me",Eminem,57837,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
41,"The Family Madrigal","Stephanie Beatriz",57714,https://open.spotify.com/track/4b1yxSdlumA8N4fEk4UOZp
42,"Kiss Me More (feat. SZA)","Doja Cat",56140,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
43,"The Real Slim Shady",Eminem,56065,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
44,"Sweater Weather","The Neighbourhood",55502,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
45,"Need to Know","Doja Cat",55363,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
